lat,lon,ta_avg,td_avg,hm_avg
36.099301,128.842862,12.7,6.2,68.0
36.103902,128.843063,12.7,6.1,68.0
36.108504,128.843265,12.6,6.2,68.0
36.113105,128.843466,12.7,6.1,68.0
36.117706,128.843668,12.3,5.8,68.0
35.961127,128.84249,13.7,7.4,70.0
35.965726,128.842691,13.3,7.2,72.0
35.970326,128.842892,13.3,7.2,72.0
35.974926,128.843093,13.3,7.2,72.0
35.979525,128.843294,13.2,7.1,72.0
35.984125,128.843495,13.1,7.1,73.0
35.988725,128.843696,13.2,7.1,72.0
35.993325,128.843897,13.5,7.3,72.0
35.997925,128.844098,13.5,7.2,72.0
36.002525,128.8443,13.2,7.1,72.0
